userid,content,star_rating,time
01****,너무너무 만족합니다 재구매의사 있어요,5,2023-02-22T03:40:57.843+00:00
kimy*******,너무 예뻐요!!!!,5,2023-03-23T10:19:48.685+00:00
ssse******,일단710ml라서ㅎㄹㅎ 양많은게최고!,5,2023-02-22T06:04:30.258+00:00
namo****,집에서 사용하기 정말 좋은 제품이고요. 입이 넓어 생각보다 세척하기 좋았고 용량 표시가 있어서 물을 얼마나 마셨는지 계산할 수 있어서 좋았습니다.,5,2023-02-17T14:11:11.068+00:00
anne*******,원하던 사이즈 입니다 잘 쓸께여~ :),5,2023-03-04T11:04:48.382+00:00
inde*****,가격도 저렴하고 디자인도 이뻐요,5,2023-02-03T03:35:09.303+00:00
chld********,잘 받았습니다 감사히 쓰겠습니다.,4,2023-02-24T12:35:13.711+00:00
meto****,화면이랑 똑같네요 많이파세요,4,2023-02-22T11:05:19.932+00:00
0519******,가볍게 들고 다니기 좋아요,5,2023-02-15T04:58:08.266+00:00
0519******,가볍게 들고 다니기 좋아요,5,2023-02-15T04:57:38.583+00:00
oukd****,오오오너무좋아효!!!!♡여름에나 운동갈때 가볍게 가지고 다니기좋아효!!!!역시 스벅로고는 이뻐!!♡,5,2023-01-28T08:52:04.233+00:00
hsk9***,운동할 때 사용하기 좋아요,5,2023-01-16T09:16:46.924+00:00
euna***,배송도 빠르고 제품도 마음에 들어요,5,2023-01-13T08:04:37.208+00:00
bubb*******,예쁘고 튼튼하고 사용하기 좋아요~^^,5,2023-01-28T00:25:37.854+00:00
a9****,사진과 동일하고 품질도 좋네요,5,2023-01-04T09:10:13.442+00:00
tpal***,헬스장갈때 잘가지고 다닙니다 ㅎㅎ,5,2023-01-04T16:25:02.367+00:00
lubi****,빠른배송 고맙습니다~ 잘 사용하겠습니다^^,5,2022-12-29T17:00:18.090+00:00
bubb*******,너무 가볍고 튼튼하고 좋아요~^^,5,2023-01-15T06:56:02.376+00:00
kjkj****,사용하기 너무 좋아요,5,2023-01-10T11:22:39.986+00:00
so****,홈카페 기분나고 좋네요,5,2022-12-19T14:21:44.797+00:00
zldn****,조리원에서 사용하려고 미리 주문했어요,5,2023-01-05T05:00:25.879+00:00
hurj***,배송빠르고 좋네요~~,5,2022-12-23T00:10:12.649+00:00
